秒,时间范围,人物状态,人物位置与裁切,背景或主信息,动画与特效,口播/功能判断
0,00:00.000-00:00.999,P0全屏真人,"全画面中近景，脸居中偏上，双手在两侧",紫色工作室实景,无作者包装；录屏平台播放UI可见,开场建立人物
1,00:01.000-00:01.999,P0全屏真人,同上,紫色工作室实景,仅底部黑底白字字幕,问候
2,00:02.000-00:02.999,P0全屏真人,同上,紫色工作室实景,手势自然变化；无额外图形,问候延续
3,00:03.000-00:03.999,P0全屏真人,同上,紫色工作室实景,稳定镜头,给观众认人
4,00:04.000-00:04.999,P0全屏真人,同上,紫色工作室实景,稳定镜头,准备引出主题
5,00:05.000-00:05.999,P0全屏真人,同上,紫色工作室实景,字幕切换为本期介绍,主题预告
6,00:06.000-00:06.999,P0全屏真人,同上,紫色工作室实景；左上Codex标识,"约06.20先出现图标，再补Codex文字；短位移/淡入",第一次明确产品名
7,00:07.000-00:07.999,P0+主题贴纸,真人仍全屏；脸保持可见,紫色实景+奶黄色超大字,"约07.36护士帽、护士服从上下方向冲入；奶/级大字放大到人物后方",把奶妈级字面化
8,00:08.000-00:08.999,P0+主题贴纸,护士帽对齐头部；服装覆盖肩胸,大字奶/级+Codex标识,贴纸轻微过冲后稳定；背景有模糊冲击感,教程定位
9,00:09.000-00:09.999,P0+主题贴纸,同上,右下增加0基础系统教程,副标题从右侧/下方进入并停留,强调零基础
10,00:10.000-00:10.999,P0转P1,"10.13贴纸消失；10.30起全屏人物被圆角蒙版裁切并向左缩放",右侧白色纸张纹理+课程名/空卡架,"右向左纸张显露；人物scale+translate+圆角连续变化；约10.95稳定",进入课程结构
11,00:11.000-00:11.999,P1左侧竖框,"x约5.2%,y约8.3%,w约30%,h约82%",纸张底+顶部课程名+三张空描边卡+节点骨架,模板静置；人物持续口播,先给目录框架
12,00:12.000-00:12.999,P1左侧竖框,同上,第一张蓝框填入安装,"约12.20-12.70文字由小到大/分组装入；首节点激活",步骤1
13,00:13.000-00:13.999,P1左侧竖框,同上,安装稳定；进度虚线向第二节点延伸,节点/虚线自上向下补全,步骤1停留
14,00:14.000-00:14.999,P1左侧竖框,同上,第二张黄框填入基础能力,"约14.20-14.70字符由小到大并轻微过冲",步骤2
15,00:15.000-00:15.999,P1左侧竖框,同上,安装+基础能力稳定；第三卡仍空,不提前泄露第三项,步骤2停留
16,00:16.000-00:16.999,P1左侧竖框,同上,第三张紫框填入高级功能,"约16.40-16.85字符组装/缩放进入",步骤3
17,00:17.000-00:17.999,P1左侧竖框,同上,三张卡和三节点全部完成,整体稳定供扫读,路线图完成
18,00:18.000-00:18.999,P1转P2,"18.27起竖框缩小下移并增加圆角；约18.70成为左下圆形头像",路线图向左重排；手机从右下放大上移,人物降级与手机入场同步；不是硬切小窗,引出手机端操作
19,00:19.000-00:19.999,P2左下圆形头像,"圆直径约画布宽15%，左/下略出画",左侧三步骤+右侧大手机,"先稳定展示；19.73起全画面快速压暗，黄色10个开始进入",从产品证据转结果承诺
20,00:20.000-00:20.999,P2保留,左下圆形头像在暗底仍可辨,路线图与手机被黑色遮罩压暗约70%-78%,巨大黄色10个带纵向/缩放残影冲入,数字钩子
21,00:21.000-00:21.999,P2保留,同上,中央白色实战场景,第二层大字由小到大进入并带黑投影；第一层保持,说明数字对象
22,00:22.000-00:22.999,P2保留,同上,第三层黄色完全理解,末层文字进入后黄-白-黄三层稳定；停留供阅读,结果承诺封口
23,00:23.000-00:23.999,P2转P0,"23.30前仍为左下圆形；23.30硬切全屏真人",暗场大字结束并返回紫色工作室,无溶解的1帧硬切,开头包装结束
24,00:24.000-00:24.999,P0全屏真人,中近景居中,紫色工作室实景,仅字幕和手势,进入正片论述
25,00:25.000-00:25.999,P0全屏真人,同上,紫色工作室实景,稳定镜头,讲Agent产品
26,00:26.000-00:26.999,P0全屏真人,同上,紫色工作室实景,稳定镜头+字幕,连续解释
27,00:27.000-00:27.999,P0全屏真人,同上,紫色工作室实景,双手打开，给后方大字预留视觉空间,蓄势强调
28,00:28.000-00:28.999,P0全屏真人,同上,紫色工作室实景,末段开始出现奶黄色大字边缘,口播关键词将到
29,00:29.000-00:29.999,P0+背景大字,真人保持前景居中,超大奶黄色游刃有余铺满人物后方,"约29.10大字放大/滑入，带轻辉光；人物不被遮脸",关键词具象强调
30,00:30.000-00:30.999,P0+信息标签,真人居中,游刃有余后景渐退；右侧白卡文字课件已打包,"约30.20白色矩形标签从右侧滑入",交付物说明
31,00:31.000-00:31.999,P0全屏真人,同上,紫色工作室实景,"标签停留至约31.53后快速退出",恢复干净口播
32,00:32.000-00:32.999,P0全屏真人,同上,紫色工作室实景,无额外包装,给强特效前留白
